Time,Cd,Cl,CmRoll,CmPitch,CmYaw,Cd(f),Cd(v),Cl(f),Cl(v)
1088,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1088,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1089,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1089,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1090,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1090,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1091,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1091,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1092,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1092,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1093,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1093,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1094,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1094,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1095,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1095,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1096,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1096,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1097,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1097,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1098,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1098,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1099,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1099,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1100,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1100,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1101,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1101,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
